Empenho;DataEmpenho;VlEmpenhado;Liquidacao;DataLiquidacao;VlLiquidado;OrdemPagamento;DataPagamento;VlPago;NaturezaDespesa;DsNaturezadaDespesa;CNPJ;NmOrgao;VlAnulado;UnidadeOrcamentaria;Funcao;SubFuncao;FonteRecurso;NmFavorecido;Objeto;Modalidade;NumeroLicitacao
20262150001910044;15/06/2026 00:00:00;204054,27;0156492026;17/06/2026 00:00:00;204054,27;202621500019100440001;17/06/2026 00:00:00;204054,27;33903900;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;37678845000140;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS - BLOCO DE MANUTENCAO DAS ACOES E SERVICOS PUBLICOS DE SAUDE - 107;INSTITUTO PATRIS;DESPESA COM TERMO DE COLABORACAO 046/2026 PARA A GESTAO PARA O GERENCIAMENTOOPERACIONALIZACAO, EXECUCAO DAS ACOES E SERVICOS DE SAUDE, PARA O PLENO FUNCIONAMENTO DA MATERNIDADE CELIA CAMARA - HOSPITAL E MATERNIDADE CELIA CAMARA (HMCC)/ TERMO DE COLABORACAO EMERGENCIAL NR. 046/2026 -  PISO DA ENFERMAGEM - SCC: 814092 - COMPETENCIA 05/2026                                         .                                                                           VALOR TOTAL:....................................................204.054,27  .                                                                           97 - ASSISTENCIA FINANCEIRA PARA COMPLEMENTACAO PISO - ENFERMAGEM           SOLICITACAO FINANCEIRA: 183472/2026                                         ;Outros (Convênios, ajustes, similares, etc.);000024422026
20262150001910045;17/06/2026 00:00:00;411485,91;0157462026;17/06/2026 00:00:00;411485,91;202621500019100450001;19/06/2026 00:00:00;411485,91;33903900;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;37678845000140;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS - BLOCO DE MANUTENCAO DAS ACOES E SERVICOS PUBLICOS DE SAUDE - 107;INSTITUTO PATRIS;SOLICITACAO FINANCEIRA: 183471/2026                                         DESPESA COM 1 ADITIVO DO TERMO DE COLABORACAO PARA A GESTAO PARA O GERENCIAMENTO, OPERACIONALIZACAO, EXECUCAO DAS ACOES E SERVICOS DE SAUDE, PARA O PLENO FUNCIONAMENTO DA MATERNIDADE DONA IRIS - 1º ADITIVO DO TERMO DE COLABORACAO EMERGENCIAL NR. 043/2025 - PISO DA ENFERMAGEM DO MÊS DE MAIO/2026 - SCC: 783111-1                                                                     .                                                                           VALOR TOTAL:....................................................411.485,91  .                                                                           97 - ASSISTENCIA FINANCEIRA PARA COMPLEMENTACAO PISO - ENFERMAGEM           ;Outros (Convênios, ajustes, similares, etc.);000000012025
20262150001910046;17/06/2026 00:00:00;77154,23;0157472026;17/06/2026 00:00:00;77154,23;202621500019100460001;22/06/2026 00:00:00;77154,23;33903900;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;45349461000102;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS - BLOCO DE MANUTENCAO DAS ACOES E SERVICOS PUBLICOS DE SAUDE - 107;ASSOCIACAO HOSPITALAR BENEFICENTE DO BRASIL;DESPESA COM 2 ADITIVO DO TERMO DE COLABORACAO PARA A GESTAO PARA O GERENCIAMENTO, OPERACIONALIZACAO, EXECUCAO DAS ACOES E SERVICOS DE SAUDE, PARA O PLENO FUNCIONAMENTO DA MATERNIDADE NASCER CIDADAO - 2º ADITIVO DO TERMO DE COLABORACAO EMERGENCIAL NR. 041/2025 - PISO DA ENFERMAGEM DO MÊS DE MAIO/2026 - SCC: 783073-2                                                                .                                                                           VALOR TOTAL:.....................................................77.154,23  .                                                                           97 - ASSISTENCIA FINANCEIRA PARA COMPLEMENTACAO PISO - ENFERMAGEM           SOLICITACAO FINANCEIRA: 183470/2026                                         ;Outros (Convênios, ajustes, similares, etc.);000000012025
20262150007410023;02/06/2026 00:00:00;13500,00;0181532026;13/07/2026 00:00:00;13500,00;;;0,00;33903000;MATERIAL DE CONSUMO;27634076000125;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ATENCAO BASICA - 301;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS / ESTADOS - 131;REMORA PRODUTOS PARA SAUDE LTDA;2025 - ARP N.026/2026 MEM.234 GEREMO - PARECER 273 GERPSR - DESPACHO 494 PRECEL - PEDIDO DE  336/2026 - SCC817385 - SOLICITACAO FINANCEIRA 183174 - 2026.                                                                           1-APARELHO/EQUIPAMENTO PROCESSO JUDICIAIS/MANDADO SEGURANCA/PROCESSO ADMINISTRATIVO DELLAMED.                                                           COD:55289-5..............25,00 UN..............540.0000............13.500,00VALOR TOTAL........................................................13.500,00.                                                                           O PRAZO DE ENTREGA DOS BENS SERA EFETUADO NO PRAZO NAO SUPERIOR A 20 DIAS U-TEIS, CONTADOS APOS O RECEBIMENTO DA ORDEM DE ENTREGA OU NOTA DE EMPENHO/AU-TORIZACAO DE FORNECIMENTO,ACOMPANHADOS DOS DOCUMENTOS FISCAIS RESPECTIVOS,DEVE CONTER, OBRIGATORIAMENTE, A ESPECIFICACAO DO ITEM, MARCA DO FABRICANTE E QUANTIDADE ENTREGUE,AS ENTREGAS DEVERAO SER EFETUADAS MEDIANTE AGENDAMENTO PREVIO, ATRAVES DO E-MAIL CIAD.GOIANIA@BRANETLOGISTICA.COM.BR.               OS BENS DEVERAO SER ENTREGUES NO ALMOXARIFADO CENTRAL DA SECRETARIA MUNICI- PAL  DE SAUDE DE GOIANIA,SEDIADO NA AVENIDA PERIMETRAL NORTE N.2859,VL.JOAO VAZ, CONDOMINIO GOYAZEM BLOCO E GALPOES DE 06 A 10, CEP 74.445-190, GOIANIA/GO. DEMAIS ESCLARECIMENTOS MEM.234 1.PED.FILHO PE 90042/26,ARP 026/26 - REMORA (10113505)GEREMO,EDITAL PE 90042/2025 - SEI 25.29.000023872-9(10138088)GEREMO,EXTRATO DE ATA 026 A 028-PE 90042/2025- SRP NO DOM(10139528)GEREMO,PARECER 273 GERPSR/SMS(10154886)GERPSR,MAPA DE PRECOS E PRE EMPENHO(10258134)GERCOM E ANEXOS SEI 26.29.000016976-5.                                         .                                                                           8 - PISO DE ATENCAO BASICA - PAB                                            DESPESA C/90042/2025 - ARP Nº 026/2026CO HOSPITALAR-PREGAO ELETRONICO 90042/;Pregão;000900422025
20262150007410024;02/06/2026 00:00:00;1980,00;;;0,00;;;0,00;33903000;MATERIAL DE CONSUMO;28387424000170;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ATENCAO BASICA - 301;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS / ESTADOS - 131;M MED COMERCIAL DE MEDICAMENTOS E PRODUTOS HOSPITALARES;.                                                                           8 - PISO DE ATENCAO BASICA - PAB - SOLICITACAO FINANCEIRA:182779/2026       DESPESA COM AQUISICAO DE INSUMOS LABORATORIAIS, ATRAVES DO 1  PEDIDO FILHO, ARP 005/2026, PE 90039/2025 - CONF. MEMORANDO 225/2026-GEREMO, PARECER 254/2026-GERPSR, PEDIDO DE COMPRAS 297/2026                                      .                                                                           01 (ITEM R10) - TUBO MICRO EDTA K2, 0,5ML, NAO ESTERIL PEDIATRICO           MARCA: VACUPLAST 3266N                                                      COD:647152............3.000UN..............00,66...................1.980,00 VALOR TOTAL:.......................................................1.980,00 .                                                                           OBS: O FORNECIMENTO DEVERA SER EFETUADO C/ PRAZO NAO SUP. A 15 DIAS UTEIS   CONFORME TERMO DE REFERENCIA (10012216) CONTADOS A PARTIR DO                RECEBIMENTO DA NOTA DE EMPENHO,ENTREGA EM PERFEITAS CONDICOES C/A DEVIDA    NOTA FISCAL, DETALHANDO MARCA/FABRICANTE/MODELO/TIPO/PROCEDENCIA. DEMAIS    ESCLARECIMENTOS CONFORME MEMO 225/2026, PARECER 254/2026, PE 90039/2025,    ATA 005/2026, PROCESSO SEI: 26.29.000015399-0 E DOCUMENTOS EM ANEXO.        .                                                                           LOCAL DA ENTREGA:ALMOXARIFADO CENTRAL SMS, AV.PERIMETRAL NORTE COND.GOIA    ZEM, BL.E, GALPOES 09/10, VL.JOAO VAZ, CEP:74.425-090, GO/GO. FONES:62-3    524-3401/3407, HORARIO:08:00 AS 17:00.                                      ;Pregão;000900392025
20262150007410025;02/06/2026 00:00:00;108010,00;;;0,00;;;0,00;33903000;MATERIAL DE CONSUMO;20235404000171;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ATENCAO BASICA - 301;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS / ESTADOS - 131;DCB - DISTRIBUIDORA CIRURGICA BRASILEIRA;DESPESA COM AQUISICAO DE MATERIAL CLINICO HOSPITALAR PARA ABASTECIMENTO NA SMS - PREGAO ELETRONICO NR 90005/25 - ARP NR 024/2026 - MEMORANDO 228 GEREMO-PARECER 274 GERPSR - DESPACHO 409 GERCOM - DESPACHO 47 PRECEL - PEDIDO DE COMPRAS 337/2026                                                              .                                                                           01 (ITEM R107) - SERINGA DESCARTAVEL 20ML S/AGULHA C/DISPOSITIVO DE SEGURAN CA - MARCA: SR                                                              COD:063797..........154.300UN..............00,70.................108.010,00 VALOR TOTAL:.....................................................108.010,00 .                                                                           OBS: O FORNECIMENTO DEVERA SER EFETUADO C/ PRAZO NAO SUP. A 15 DIAS UTEIS   CONFORME TERMO DE REFERENCIA (10042860) CONTADOS A PARTIR DO                RECEBIMENTO DA NOTA DE EMPENHO,ENTREGA EM PERFEITAS CONDICOES C/A DEVIDA    NOTA FISCAL, DETALHANDO MARCA/FABRICANTE/MODELO/TIPO/PROCEDENCIA. DEMAIS    ESCLARECIMENTOS CONFORME MEMO 228/2026, PARECER 274/2026, PE 90005/2025,    ATA 24/2026, PROCESSO SEI: 26.29.000015871-2 E DOCUMENTOS EM ANEXO.         .                                                                           LOCAL DA ENTREGA:ALMOXARIFADO CENTRAL SMS, AV.PERIMETRAL NORTE COND.GOIA    ZEM, BL.E, GALPOES 09/10, VL.JOAO VAZ, CEP:74.425-090, GO/GO. FONES:62-3    524-3401/3407, HORARIO:08:00 AS 17:00.                                      .                                                                           8 - PISO DE ATENCAO BASICA - PAB - SOLICITACAO FINANCEIRA:183158/2026       ;Pregão;000900052025
20262150007410026;19/06/2026 00:00:00;97450,00;;;0,00;;;0,00;33903000;MATERIAL DE CONSUMO;24864422000173;SECRETARIA MUNICIPAL DE SAUDE;97450,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ATENCAO BASICA - 301;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS / ESTADOS - 131;C E C IMPORTAO E COMERCIO DE PRODUTOS MDICOS LTDA - EPP;DESPESA COM AQUISICAO DE CPAP - GERADOR DE FLUXO DE PRESSAO POSITIVA ATRAVESDO 1ºPEDIDO FILHO,ARP 028/2026,EDITAL PE 90042/2025 CONF. MEMORANDO 232/2026-GEREMO, PARECER 275/2026-GERPSR, PEDIDO DE COMPRA 338/2026. SCC 818993.    SOLICITACAO FINANCEIRA 183357 - 2026.                                       .                                                                           ITEM 1- APARELHO CPAP/EQUIPAMENTO - PROCESSO JUDICIAL/MANDADO SEGURANCA/PRO-CESSO ADMINISTRATIVO - MARCA MICOMMED/C5.                                   COD.552895......................50,00 UN........1.949,0000.........97.450,00VALOR TOTAL:.......................................................97.450,00.                                                                           A ENTREGA DOS BENS SERA EFETUADA NO PRAZO NAO SUPERIOR A 20 DIAS UTEIS,     CONTADOS APOS O RECEBIMENTO DA ORDEM DE ENTREGA OU NOTA DE EMPENHO/AUTORIZA-CAO DE FORNECIMENTO, ACOMPANHADOS DOS DOCUMENTOS FISCAIS RESPECTIVOS, QUE   DEVEM CONTER, OBRIGATORIAMENTE, A ESPECIFICACAO DO ITEM, MARCA DO FABRICANTEE QUANTIDADE ENTREGUE. A ENTREGA SERA COM AGENDAMENTO PREVIO PELO E-MAIL:   CIAD.GOIANIA@BRANETLOGISTICA.COM.BR, NO LOCAL: ALMOXARIFADO CENTRAL DA SMS, NA AV. PERIMETRAL NORTE, COND. GOIAZEM, BL. E, GALPAO 06/10, VL. JOAO VAZ,  GOIANIA/GO._CEP 74445-190. TEL.3524-3404/3407. DEMAIS ESCLARECIMENTOS CONF. MEMORANDO 232-1ºPED.FILHO-PE 90042/25-ARP 028/26(10113458)-GEREMO,PARECER   275(10160370)-GERPSR, JUSTIFICATIVA 314 PRECO REFERENCIAL(10283459)_E_ANEXOSSEI 26.29.000016978-1.                                                      .                                                                           8 - PISO DE ATENCAO BASICA - PAB.                                           ;Pregão;000900422025
20262150007410027;19/06/2026 00:00:00;734,92;;;0,00;;;0,00;33903000;MATERIAL DE CONSUMO;04724729000161;SECRETARIA MUNICIPAL DE SAUDE;734,92;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ATENCAO BASICA - 301;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS / ESTADOS - 131;MAXLAB PRODUTOS PARA DIAGNOSTICOS E PESQUISAS LTDA - EPP;DESPESA C/ AQUISICAO DE MEDICAMENTOS ATRAVES DO 2ºPEDIDO FILHO,ARP 086/2025,EDITAL PE90013/2025 CONF.MEMORANDO 244/2026-GEREMO, PARECER 295/2026-GERPSR,PEDIDO DE COMPRAS 370/2026 / ITENS: 1, 2, 3 E 6. SCC 819019.                SOLICITACAO FINANCEIRA 183324 - 2026.                                       .                                                                           ITEM 1- ACIDO CLORIDRICO P.A. FR. C/1000,0 ML. - MARCA NEON.                COD.010553.......................1,00 FR.......50,8800.................50,88ITEM 2- ALCOOL ABSOLUTO 99% FR. C/1000,0 ML - MARCA PROLINK.                COD.010570......................48,00 FR.......11,0000................528,00ITEM 3- FENOL CORANTE LIQUIDO FR. C/1000,0 ML - MARCA ACS.                  COD.360090.......................1,00 FR.......98,8900.................98,89ITEM 6- SOLUCAO DESCORANTE ZIEHL-NEELSEN FR. C/500,0 ML - MARCA NEWPROV.    COD.711756.......................3,00 FR.......19,0500.................57,15VALOR TOTAL:..........................................................734,92.                                                                           A ENTREGA SERA NO PRAZO NAO SUPERIOR A 20 DIAS UTEIS,CONTADOS APOS O RECEBI-MENTO DA ORDEM DE ENTREGA OU NOTA DE EMPENHO/AUTORIZACAO DE FORNECIMENTO,A- COMPANHADOS DOS DOCUMENTOS FISCAIS RESPECTIVOS,QUE DEVEM CONTER OBRIGATORIA-MENTE, A ESPECIFICACAO DO ITEM, MARCA DO FABRICANTE E QUANTIDADE ENTREGUE.  A ENTREGA POR AGENDAMENTO PREVIO NO E-MAIL:CIAD.GOIANIA@BRANETLOGISTICA.COM.BR, NO LOCAL:ALMOXARIFADO CENTRAL DA SMS, NA AV.PERIMETRALNORTE,COND.GOIAZEM, BL. E, GALPAO 06/10, VL. JOAO VAZ, GOIANIA/GO. CEP 74445-190. TEL.3524-   3404/3407. DEMAIS ESCLARECIMENTOS CONF. MEMORANDO 244/2026(10260849)GEREMO, EDITAL PE90013/2025(10261498)GEREMO, PARECER 295(10297383)GERPSR E ANEXOS   SEI 26.29.000019492-1.                                                      .                                                                           8 - PISO DE ATENCAO BASICA - PAB.                                           ;Pregão;000900132025
20262150007410028;19/06/2026 00:00:00;89,04;;;0,00;;;0,00;33903000;MATERIAL DE CONSUMO;04724729000161;SECRETARIA MUNICIPAL DE SAUDE;89,04;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ATENCAO BASICA - 301;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS / ESTADOS - 131;MAXLAB PRODUTOS PARA DIAGNOSTICOS E PESQUISAS LTDA - EPP;ACOMPANHADOS DOS DOCUMENTOS FISCAIS RESPECTIVOS, QUE DEVEM CONTER OBRIGATO- RIAMENTE,A ESPECIFICACAO DO ITEM,MARCA DO FABRICANTE E QUANTIDADE ENTREGUE. A ENTREGA C/ AGENDAMENTO PREVIO NO E-MAIL:CIAD.GOIANIA@BRANETLOGISTICA.COM. BR,NO LOCAL:ALMOXARIFADO CENTRAL DA SMS, NA AV.PERIMETRAL NORTE,COND.GOIAZEM,BL. E,GALPAO 06/10,VL. JOAO VAZ,GOIANIA/GO.CEP 74445-190.TEL3524-3404/3407.DEMAIS ESCLARECIMENTOS CONF.MEMORANDO 244/2026(10260849)-GEREMO, EDITAL PE  90013/2025(10261498)-GEREMO, PARECER 295/2026(10297383)-GERPSR E ANEXOS SEI 26.29.000019492-1.                                                          .                                                                           8 - PISO DE ATENCAO BASICA - PAB.                                           DESPESA COM AQUISICAO DE MEDICAMENTOS ATRAVES DO 2º PEDIDO FILHO, ARP086/25,EDITAL PE90013/2025 CONF.MEMORANDO 244/2026-GEREMO, PARECER 295/2026-GERPSR,PEDIDO DE COMPRAS 370/2026 / ITEM 4. SCC 819019.                            SOLICITACAO FINANCEIRA 183325-2026.                                         .                                                                           ITEM 4- FRASCO VIDRO AMBAR BOCA ESTREITA CPM TAMPA 1 L. - MARCA WHEATON.    COD.347353.......................6,00 UN.......14,8400.................89,04VALOR TOTAL:...........................................................89,04.                                                                           A ENTREGA SERA NO PRAZO NAO SUPERIOR A 20 DIAS UTEIS, CONTADOS APOS O RECE- BIMENTO DA ORDEM DE ENTREGA OU NOTA DE EMPENHO/AUTORIZACAO DE FORNECIMENTO, ;Pregão;000900132025
20262150007410029;19/06/2026 00:00:00;2413,74;;;0,00;;;0,00;33903000;MATERIAL DE CONSUMO;04724729000161;SECRETARIA MUNICIPAL DE SAUDE;2413,74;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ATENCAO BASICA - 301;TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS / ESTADOS - 131;MAXLAB PRODUTOS PARA DIAGNOSTICOS E PESQUISAS LTDA - EPP;.                                                                           ITEM 5- KIT COLORACAO ZIEHL-NEELSEN 3 FRASCOS DE 500 ML.- MARCA NEWPROV.    COD.600024.......................6,00 UN.......71,2900................427,74ITEM 7- LAPIS DERMOGRAFICO ROXO CARMIN - MARCA MITSUBISHI.                  COD.197181......................50,00 UN.......15,7200................786,00ITEM 8- TUBO POLIPROPILENO P/CONGELAMENTO 12X45 MM. C/TAMPA DE ROSCA E ANEL VEDACAO - MARCA CRAL.                                                       COD.573426...................3.000,00 UN.......0,4000...............1.200,00VALOR TOTAL:........................................................2.413,74.                                                                           A ENTREGA SERA NO PRAZO NAO SUPERIOR A 20 DIAS UTEIS, CONTADOS APOS O RECE- BIMENTO DA ORDEM DE ENTREGA OU NOTA DE EMPENHO/AUTORIZACAO DE FORNECIMENTO, ACOMPANHADOS DOS DOCUMENTOS FISCAIS RESPECTIVOS, QUE DEVEM CONTER OBRIGATO- RIAMENTE,A ESPECIFICACAO DO ITEM,MARCA DO FABRICANTE E QUANTIDADE ENTREGUE. A ENTREGA C/ AGENDAMENTO PREVIO NO E-MAIL:CIAD.GOIANIA@BRANETLOGISTICA.COM. BR,NO LOCAL:ALMOXARIFADO CENTRAL DA SMS, NA AV.PERIMETRAL NORTE,COND.GOIAZEM,BL. E,GALPAO 06/10,VL. JOAO VAZ,GOIANIA/GO.CEP 74445-190.TEL3524-3404/3407.DEMAIS ESCLARECIMENTOS CONF.MEMORANDO 244/2026(10260849)-GEREMO, EDITAL PE  90013/2025(10261498)-GEREMO, PARECER 295/2026(10297383)-GERPSR E ANEXOS SEI 26.29.000019492-1.                                                          .                                                                           8 - PISO DE ATENCAO BASICA - PAB.                                           DESPESA COM AQUISICAO DE MEDICAMENTOS ATRAVES DO 2º PEDIDO FILHO, ARP086/25,EDITAL PE90013/2025 CONF.MEMORANDO 244/2026-GEREMO, PARECER 295/2026-GERPSR,PEDIDO DE COMPRAS 370/2026 / ITENS:5,7 E 8. SCC 819019.                     SOLICITACAO FINANCEIRA 183326 - 2026.                                       ;Pregão;000900132025
