Empenho;DataEmpenho;VlEmpenhado;Liquidacao;DataLiquidacao;VlLiquidado;OrdemPagamento;DataPagamento;VlPago;NaturezaDespesa;DsNaturezadaDespesa;CNPJ;NmOrgao;VlAnulado;UnidadeOrcamentaria;Funcao;SubFuncao;FonteRecurso;NmFavorecido;Objeto;Modalidade;NumeroLicitacao
20252150000210025;18/12/2025 00:00:00;375281,51;0322612025;18/12/2025 00:00:00;235999,27;202521500002100250002;18/12/2025 00:00:00;235999,27;31901100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;60701190000104;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ITAU UNIBANCO S.A.;DESPESA COM A FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE(CARGO COMIS-SIONADO). SEI 25.27.000008807-2 - SOLICITACAO FINANCEIRA:176338-2025.       .                                                                           OBS:VALOR REFERENTE AO 13ºSALARIO 2025._SCC:771555.                         .                                                                           VALOR TOTAL:......................................................375.281,51.                                                                           102-RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSOTOS-SAUDE             527 -TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176338-2025. DESPESA COM A FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE(CARGO COMIS-SIONADO). SEI 25.27.000008807-2 - SOLICITACAO FINANCEIRA:176338-2025.       .                                                                           OBS:VALOR REFERENTE AO 13ºSALARIO 2025._SCC771555.                          .                                                                           VALOR TOTAL:......................................................375.281,51.                                                                           102-RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSOTOS-SAUDE             527 -TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176338-2025. ;Inexigibilidade de Licitação;000000012022
20252150000210025;18/12/2025 00:00:00;375281,51;0322622025;18/12/2025 00:00:00;0,00;;;0,00;31901100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;60701190000104;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ITAU UNIBANCO S.A.;DESPESA COM A FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE(CARGO COMIS-SIONADO). SEI 25.27.000008807-2 - SOLICITACAO FINANCEIRA:176338-2025.       .                                                                           OBS:VALOR REFERENTE AO 13ºSALARIO 2025._SCC:771555.                         .                                                                           VALOR TOTAL:......................................................375.281,51.                                                                           102-RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSOTOS-SAUDE             527 -TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176338-2025. DESPESA COM A FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE(CARGO COMIS-SIONADO). SEI 25.27.000008807-2 - SOLICITACAO FINANCEIRA:176338-2025.       .                                                                           OBS:VALOR REFERENTE AO 13ºSALARIO 2025._SCC771555.                          .                                                                           VALOR TOTAL:......................................................375.281,51.                                                                           102-RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSOTOS-SAUDE             527 -TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176338-2025. ;Inexigibilidade de Licitação;000000012022
20252150000210025;18/12/2025 00:00:00;375281,51;0322642025;18/12/2025 00:00:00;139282,24;202521500002100250001;18/12/2025 00:00:00;139282,24;31901100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;60701190000104;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ITAU UNIBANCO S.A.;DESPESA COM A FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE(CARGO COMIS-SIONADO). SEI 25.27.000008807-2 - SOLICITACAO FINANCEIRA:176338-2025.       .                                                                           OBS:VALOR REFERENTE AO 13ºSALARIO 2025._SCC:771555.                         .                                                                           VALOR TOTAL:......................................................375.281,51.                                                                           102-RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSOTOS-SAUDE             527 -TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176338-2025. DESPESA COM A FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE(CARGO COMIS-SIONADO). SEI 25.27.000008807-2 - SOLICITACAO FINANCEIRA:176338-2025.       .                                                                           OBS:VALOR REFERENTE AO 13ºSALARIO 2025._SCC771555.                          .                                                                           VALOR TOTAL:......................................................375.281,51.                                                                           102-RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSOTOS-SAUDE             527 -TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176338-2025. ;Inexigibilidade de Licitação;000000012022
20252150000210030;19/12/2025 00:00:00;32951,20;0326762025;19/12/2025 00:00:00;19208,79;202521500002100300001;19/12/2025 00:00:00;19208,79;31901100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;60701190000104;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ITAU UNIBANCO S.A.;DESPESA COM PAGAMENTO DA FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE (SUBSIDIO DO SECRETARIO DE SAUDE)                                            .                                                                           VALOR RELATIVO AO MES DE DEZEMBRO/2025                                      .                                                                           VALOR TOTAL:..............................................32.951,20         .                                                                           FONTE:  102 - RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE  FONTE DETALHADA:  527 - TRANSFERENCIAS DE IMPOSTOS/SAUDE                    SOLICITACAO FINANCEIRA NR. 176469-2025                                      ;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150000210030;19/12/2025 00:00:00;32951,20;0326792025;19/12/2025 00:00:00;13742,41;202521500002100300002;19/12/2025 00:00:00;13742,41;31901100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;60701190000104;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ITAU UNIBANCO S.A.;DESPESA COM PAGAMENTO DA FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE (SUBSIDIO DO SECRETARIO DE SAUDE)                                            .                                                                           VALOR RELATIVO AO MES DE DEZEMBRO/2025                                      .                                                                           VALOR TOTAL:..............................................32.951,20         .                                                                           FONTE:  102 - RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE  FONTE DETALHADA:  527 - TRANSFERENCIAS DE IMPOSTOS/SAUDE                    SOLICITACAO FINANCEIRA NR. 176469-2025                                      ;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150002010379;16/12/2025 00:00:00;1231,82;0320882025;18/12/2025 00:00:00;1231,82;202521500020103790001;18/12/2025 00:00:00;1231,82;33904800;OUTROS AUXILIOS FINANCEIROS A PESSOAS FISICAS;00000860366103;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ANA JULIA MODESTO LIMA;PAGAMENTO DE AUXILIO MORADIA P/ O(A) PROFISSIONAL MEDICO(A):ANA JULIA MODES-TO LIMA       PARTICIPANTE DO PROGRAMA DE RESIDENCIA MEDICA NA SECRETARIA   MUNICIPAL DE SAUDE DE GOIANIA. SEI 24290000186367. VALORES REF.AO PERIODO DEDEZEMBRO DE 2025 - CONFORME INFORMADO NA PLANILHA EMITIDA PELA EMSP/SMS -CPF008.603.661-03 / BANCO: BRADESCO - AGÊNCIA: 1423 - CONTA: 26070-3.          .                                                                           VALOR TOTAL:........................................................1.231,82.                                                                           102 - RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE          527 - TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176153 -2025;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150002010382;16/12/2025 00:00:00;1231,82;0320922025;18/12/2025 00:00:00;1231,82;202521500020103820001;18/12/2025 00:00:00;1231,82;33904800;OUTROS AUXILIOS FINANCEIROS A PESSOAS FISICAS;00003898346102;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;BETTINA PENA MACHADO;PAGAMENTO DE AUXILIO MORADIA PARA O(A) PROFISSIONAL MEDICO(A): BETTINA PENA MACHADO        PARTICIPANTE DO PROGRAMA DE RESIDENCIA MEDICA NA SECRETARIA  MUNICIPAL DE SAUDE DE GOIANIA. SEI 24290000186367. VALORES REF.AO PERIODO DEDEZEMBRO DE 2025 - CONFORME INFORMADO NA PLANILHA EMITIDA PELA EMSP/SMS -CPF038.983.461-02 / BANCO: BRADESCO - AGENCIA: 1780- CONTA: 9519-2.            .                                                                           VALOR TOTAL:........................................................1.231,82.                                                                           102 - RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE          527 - TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176163 -2025;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150000210031;19/12/2025 00:00:00;2640,00;0326842025;19/12/2025 00:00:00;2640,00;202521500002100310001;19/12/2025 00:00:00;2640,00;31901100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;60701190000104;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ITAU UNIBANCO S.A.;DESPESA COM PAGAMENTO DA FOLHA DE PESSOAL DA SECRETARIA MUNICIPAL DE SAUDE (OUTROS CARGOS)                                                              .                                                                           VALOR RELATIVO AO MES DE DEZEMBRO/2025                                      .                                                                           VALOR TOTAL:..............................................2.640,00          .                                                                           FONTE:  102 - RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE  FONTE DETALHADA:  527 - TRANSFERENCIAS DE IMPOSTOS/SAUDE                    SOLICITACAO FINANCEIRA NR. 176471-2025                                      ;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150001110017;17/12/2025 00:00:00;1640542,10;0328582025;19/12/2025 00:00:00;1514788,38;202521500011100170001;22/12/2025 00:00:00;1514788,38;31911300;OBRIGACOES PATRONAIS;31710983000183;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;FUNDO FINANCEIRO DO MUNICIPIO DE GOIANIA - FUNFIN;DESPESA COM PAGAMENTO DA FOLHA DE PESSOAL DA SMS DE GOIANIA/CONTRIBUICAO PA-TRONAL E 13º SALARIO(FUNDO FINANCEIRO DO MUN.DE GOIANIA/FUNFIN).            VALOR RELATIVO AO MES DE NOVEMBRO/2025.SEI 25.27.000008626-6.               .                                                                           VALOR TOTAL:....................................................1.640.542,10.                                                                           527-TRANSFERENCIAS DE IMPOSTOS / SAUDE                                      SOLICITACAO FINANCEIRA:176251-2025                                          ;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150001110017;17/12/2025 00:00:00;1640542,10;0328592025;19/12/2025 00:00:00;125753,72;202521500011100170002;22/12/2025 00:00:00;125753,72;31911300;OBRIGACOES PATRONAIS;31710983000183;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;FUNDO FINANCEIRO DO MUNICIPIO DE GOIANIA - FUNFIN;DESPESA COM PAGAMENTO DA FOLHA DE PESSOAL DA SMS DE GOIANIA/CONTRIBUICAO PA-TRONAL E 13º SALARIO(FUNDO FINANCEIRO DO MUN.DE GOIANIA/FUNFIN).            VALOR RELATIVO AO MES DE NOVEMBRO/2025.SEI 25.27.000008626-6.               .                                                                           VALOR TOTAL:....................................................1.640.542,10.                                                                           527-TRANSFERENCIAS DE IMPOSTOS / SAUDE                                      SOLICITACAO FINANCEIRA:176251-2025                                          ;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150001510020;19/12/2025 00:00:00;1518,00;0327882025;19/12/2025 00:00:00;1518,00;202521500015100200001;19/12/2025 00:00:00;1518,00;33900800;OUTROS BENEFICIOS ASSISTENCIAIS;60701190000104;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ITAU UNIBANCO S.A.;DESPESA COM PAGAMENTO DA FOLHA DE PESSOAL DA SECRETARIA  MUNICIPAL DE SAUDE (OUTROS BENEFICIOS ASSISTENCIAIS). SEI 25.27.000008982-6.                   .                                                                           VALOR RELATIVO AO MES DE DEZEMBRO/2025.                                     .                                                                           VALOR TOTAL:.......................................................1.518,00 .                                                                           FONTE:102-RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE      FONTE DETALHADA:527-TRANSFERENCIAS DE IMPOSTOS / SAUDE                      SOLICITACAO FINANCEIRA : 176474-2025.                                       ;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150002010373;16/12/2025 00:00:00;1231,82;0321402025;18/12/2025 00:00:00;1231,82;202521500020103730001;18/12/2025 00:00:00;1231,82;33904800;OUTROS AUXILIOS FINANCEIROS A PESSOAS FISICAS;00013548278647;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;LETICIA ROCHA OLIVEIRA MATOS;.                                                                           PAGAMENTO DE AUXILIO MORADIA PARA O(A) PROFISSIONAL MEDICO(A):LETICIA ROCHA OLIVEIRA MATOS PARTICIPANTE DO PROGRAMA DE RESIDENCIA MEDICA NA SECRETARIA  MUNICIPAL DE SAUDE DE GOIANIA. SEI 24290000186367. VALORES REF.AO PERIODO DEDEZEMBRO DE 2025 - CONFORME INFORMADO NA PLANILHA EMITIDA PELA EMSP/SMS -CPF102 - RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE          135.482.786-47-BANCO: ITAU - AGENCIA: 8656 - CONTA:37644-2.                 .                                                                           VALOR TOTAL:........................................................1.231,82527 - TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176193 -2025;Não se aplica (Ex.: Despesas com Pessoal);000000000000
20252150002010380;16/12/2025 00:00:00;1231,82;0320902025;18/12/2025 00:00:00;1231,82;202521500020103800001;18/12/2025 00:00:00;1231,82;33904800;OUTROS AUXILIOS FINANCEIROS A PESSOAS FISICAS;00003147263142;SECRETARIA MUNICIPAL DE SAUDE;0,00;SECRETARIA MUNICIPAL DE SAUDE                                                                                                                                                                                                                                ;SAUDE - 10;ADMINISTRACAO GERAL - 122;RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE - 102;ATHUS LINHARES RIBEIRO;PAGAMENTO DE AUXILIO MORADIA PARA O(A) PROFISSIONAL MEDICO(A):ATHUS LINHARES RIBEIRO       PARTICIPANTE DO PROGRAMA DE RESIDENCIA MEDICA NA SECRETARIA  MUNICIPAL DE SAUDE DE GOIANIA. SEI 24290000186367. VALORES REF.AO PERIODO DEDEZEMBRO DE 2025 - CONFORME INFORMADO NA PLANILHA EMITIDA PELA EMSP/SMS -CPF031.472.631-42 / BANCO: BRADESCO - AGÊNCIA: 6711- CONTA: 17430-0.           .                                                                           VALOR TOTAL:........................................................1.231,82.                                                                           102 - RECEITAS DE IMPOSTOS E DE TRANSFERENCIAS DE IMPOSTOS - SAUDE          527 - TRANSFERENCIAS DE IMPOSTOS/SAUDE - SOLICITACAO FINANCEIRA:176155 -2025;Não se aplica (Ex.: Despesas com Pessoal);000000000000
